staff_id,load
S001,24.44054711182917
S002,28.716030099492407
S003,19.999863764910216
S004,30.632435432537427
S005,20.68955070332071
S006,28.66169100603122
S007,17.527107651901556
S008,17.636298161666126
S009,15.960523561792838
S010,18.697877701927013
S011,14.538071584334151
S012,17.00564289074374
S013,16.017089755896457
S014,19.283892900599312
S015,13.854325567787708
S016,20.9825122467642
S017,29.224218200984446
S018,27.72556923854124
S019,29.174865950833713
S020,27.638913201435713
S021,30.294232199248846
S022,26.69722998915681
S023,18.849204525890983
S024,10.101864225973983
S025,28.532134085219504
